R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Ciryl Gane,Alexander Volkov,-177,145,56.49717514,145,6/26/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Heavyweight,MALE,5,0,2,0,4.88,0.59,0.2,0.66,0.7,4,2,28,0,0,1,2,4,0,0,7,Orthodox,200.66,203.2,250,0,5,0,5.04,0.55,0.5,1.13,0.26,5,0,14,0,0,0,2,1,2,0,5,Orthodox,193.04,205.74,245,31,32,0,-3,-1,2,2,14,0,3,-2,7.62,-2.54,1,-0.16,-0.3,-0.47,1,1,5,4,,,,,4,,,,,,,,,,,,,5,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Boser,Ovince Saint Preux,-177,140,56.49717514,140,6/26/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Heavyweight,MALE,3,1,0,0,2.68,0.46,0.6,1.19,0.4,5,11,69,1,1,0,4,9,5,0,19,Southpaw,190.5,203.2,205,2,0,0,4.21,0.52,0,0,0,2,3,15,0,0,0,1,2,0,0,3,Orthodox,187.96,190.5,255,29,38,-1,0,3,16,8,54,1,7,5,2.54,12.7,9,-1.53,0.6,1.19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raoni Barcelos,Timur Valiev,-230,180,43.47826087,180,6/26/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Bantamweight,MALE,3,0,1,0,5.5,0.71,0,2.73,0.66,1,0,5,0,0,0,1,0,0,0,1,Orthodox,167.64,170.18,135,0,5,0,5.59,0.52,0.7,2.23,0.56,5,0,13,0,0,0,2,2,1,0,5,Orthodox,170.18,170.18,135,34,31,0,-4,-4,-4,0,-8,0,-2,-1,-2.54,0,-3,-0.09,-0.7,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Fili,Daniel Pineda,-230,180,43.47826087,180,6/26/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Featherweight,MALE,3,1,0,0,3.41,0.49,1.8,1.55,0.29,2,5,17,0,0,0,0,1,3,0,4,Orthodox,170.18,175.26,145,1,0,0,3.73,0.36,0.2,2.5,0.49,2,7,40,0,0,2,4,3,0,0,9,Orthodox,180.34,187.96,145,31,35,0,0,0,-5,-2,-23,0,-2,3,-10.16,-12.7,4,-0.32,1.6,-0.95,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Means,Nicolas Dalby,-137,110,72.99270073,110,6/26/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Welterweight,MALE,3,0,2,1,3.2,0.37,0,1.45,0.33,2,2,19,0,0,1,2,0,0,0,3,Orthodox,180.34,187.96,170,0,2,0,5.16,0.48,0.2,0.92,0.41,4,9,51,0,0,1,5,5,2,0,13,Orthodox,187.96,190.5,170,37,36,0,0,-2,-10,-7,-32,0,-5,-2,-7.62,-2.54,-1,-1.96,-0.2,0.53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato Moicano,Jai Herbert,-250,195,40,195,6/26/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Lightweight,MALE,3,1,0,0,1.83,0.3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,155,1,0,0,5.4,0.46,0.6,1.28,0.53,3,4,20,0,0,2,1,0,3,0,6,Orthodox,180.34,182.88,155,32,33,0,0,-3,-6,-3,-17,0,0,-3,5.08,12.7,1,-3.57,-0.6,-1.28,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennedy Nzechukwu,Danilo Marques,-118,-107,84.74576271,93.45794393,6/26/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Light Heavyweight,MALE,3,0,2,0,1.81,0.88,1.2,4.83,0.34,2,0,5,0,0,0,1,0,1,0,2,Orthodox,198.12,195.58,205,0,2,0,5.38,0.43,0,0,0,2,1,12,0,0,1,1,2,0,0,4,Southpaw,195.58,210.82,205,29,35,0,0,0,-2,-1,-7,0,-2,1,2.54,-15.24,6,-3.57,1.2,4.83,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shavkat Rakhmonov,Michel Prazeres,-275,215,36.36363636,215,6/26/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Welterweight,MALE,3,1,0,0,2.44,0.47,0.6,4.11,0.36,8,3,35,0,0,3,4,0,3,0,10,Orthodox,167.64,170.18,170,0,1,0,2.79,0.52,3.2,0,0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,185.42,195.58,170,26,39,1,-1,7,9,3,34,0,0,2,-17.78,-25.4,13,-0.35,-2.6,4.11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warlley Alves,Jeremiah Wells,-240,187,41.66666667,187,6/26/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,170,0,1,0,3.09,0.47,1,1.48,0.54,4,4,28,0,0,0,2,3,3,0,8,Orthodox,180.34,182.88,170,30,34,0,-1,-4,-8,-4,-28,0,-3,-3,-5.08,-7.62,4,-3.09,-1,-1.48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Prachnio,Ike Villanueva,-215,170,46.51162791,170,6/26/2021,"Las Vegas, Nevada, USA",USA,,FALSE,Light Heavyweight,MALE,3,0,1,0,3.62,0.4,0,0,0,1,2,5,0,0,0,0,1,0,0,1,Orthodox,185.42,185.42,205,0,1,0,5.4,0.47,0,0,0,1,3,6,0,0,0,1,0,0,0,1,Orthodox,190.5,187.96,205,32,37,0,0,0,0,-1,-1,0,1,0,-5.08,-2.54,5,-1.78,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
