R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs
Robert Whittaker,Darren Till,-130,107,76.92307692,107,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Middleweight,MALE,5,0,1,1,2.41,0.46,0,0.66,0.41,4,2,24,1,0,1,3,2,0,0,6,Southpaw,182.88,187.96,185,1,0,0,4.77,0.39,0,0.36,0.57,9,3,37,3,0,1,5,5,0,0,11,Orthodox,182.88,185.42,185,29,27,-1,1,-5,-5,-1,-13,-2,-3,0,0,2.54,-2,-2.36,0,0.3,1,1,5,1,,,,,,,1,,,,,,,,,,,,,5,,,,,,,Red,U-DEC,,5,5:00,1500
Mauricio Rua,Rogerio Nogueira,-190,150,52.63157895,150,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,2.39,0.34,0.8,0.67,0.44,7,8,57,0,0,3,4,8,4,0,19,Southpaw,187.96,190.5,205,0,1,1,3.63,0.5,0.8,2.17,0.48,8,11,76,4,0,1,3,21,1,0,26,Orthodox,185.42,193.04,205,38,44,1,-1,-1,-7,-3,-19,-4,-13,3,2.54,-2.54,6,-1.24,0,-1.5,1,1,15,,,,,,,15,,,,,,,,,,,,,,,,,,,,,Red,S-DEC,,3,5:00,900
Fabricio Werdum,Alexander Gustafsson,260,-335,260,29.85074627,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Heavyweight,MALE,3,2,0,0,4.02,0.4,0.4,1.56,0.39,6,6,42,3,0,0,3,5,2,0,10,Orthodox,195.58,200.66,205,2,0,0,3.61,0.52,1.1,1.71,0.31,6,9,71,3,0,0,6,6,10,0,22,Orthodox,193.04,195.58,231,42,33,0,0,0,-12,-3,-29,0,-1,-8,2.54,5.08,-9,0.41,-0.7,-0.15,1,1,7,14,,,,,14,,,,,,,,,,,,,7,,,,,,,,,Blue,SUB,Armbar,1,2:30,150
Carla Esparza,Marina Rodriguez,145,-182,145,54.94505495,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Women's Strawweight,FEMALE,3,0,2,2,5.6,0.5,0.2,0.48,0.33,2,0,12,0,0,0,2,0,0,0,2,Orthodox,167.64,165.1,115,0,3,0,2.3,0.41,0.3,3.28,0.33,3,4,32,2,1,1,4,0,1,0,7,Orthodox,154.94,160.02,115,32,33,0,-1,-1,-5,-4,-20,-2,0,-1,12.7,5.08,1,3.3,-0.1,-2.8,1,1,9,7,,,7,,,,,,,,,,,,,9,,,,,,,,,,,Red,S-DEC,,3,5:00,900
Paul Craig,Gadzhimurad Antigulov,-137,110,72.99270073,110,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Light Heavyweight,MALE,3,2,0,0,2.32,0.51,3.5,8.7,0.41,2,2,4,0,0,0,0,0,2,0,2,Orthodox,180.34,177.8,205,0,1,1,2.33,0.48,1.5,1.65,0.21,1,4,18,0,0,0,0,0,4,0,4,Orthodox,190.5,193.04,205,32,33,2,-1,1,-2,-2,-14,0,0,-2,-10.16,-15.24,1,-0.01,2,7.05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Triangle Choke,1,2:06,126
Alex Oliveira,Peter Sobotta,-182,145,54.94505495,145,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,3,1,0,0,2.17,0.39,0.6,1.76,0.35,2,5,22,0,0,0,2,1,1,0,4,Southpaw,182.88,190.5,170,0,1,0,2.88,0.5,0.6,2.69,0.37,4,6,39,0,0,1,2,4,3,0,10,Orthodox,180.34,193.04,170,32,33,1,-1,-2,-6,-1,-17,0,-3,-2,2.54,-2.54,1,-0.71,0,-0.93,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900
Khamzat Chimaev,Rhys McKee,-1250,700,8,700,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,0,1,0,6.94,0.82,2.4,4.84,1,1,0,2,0,0,0,0,0,1,0,1,Orthodox,187.96,190.5,185,26,30,0,-1,-1,-1,0,-2,0,0,-1,-2.54,-5.08,4,-6.94,-2.4,-4.84,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,3:09,189
Francisco Trinaldo,Jai Herbert,-134,108,74.62686567,108,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,155,0,2,0,3.13,0.43,0.5,1.02,0.44,7,6,53,0,0,1,8,4,2,0,15,Southpaw,175.26,177.8,155,41,32,0,-2,-7,-15,-6,-53,0,-4,-2,10.16,7.62,-9,-3.13,-0.5,-1.02,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3,1:30,450
Nicolas Dalby,Jesse Ronson,-265,205,37.73584906,205,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,FALSE,Welterweight,MALE,3,3,0,0,3.09,0.46,0.3,0.67,0.4,0,3,9,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,155,0,1,1,3.03,0.38,0,1.8,0.45,1,2,15,0,0,1,1,0,0,0,2,Orthodox,180.34,187.96,170,35,34,3,-1,-1,-2,1,-6,0,0,0,-2.54,-5.08,-1,0.06,0.3,-1.13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,2:48,168
Tom Aspinall,Jake Collier,-278,220,35.97122302,220,7/25/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,FALSE,Heavyweight,MALE,3,0,1,0,4.15,0.39,0.5,0.72,0.23,1,3,14,0,0,1,1,1,0,0,3,Orthodox,190.5,198.12,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,195.58,195.58,256,27,31,0,1,1,3,3,14,0,1,0,-5.08,2.54,4,4.15,0.5,0.72,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,0:45,45
