R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Thiago Santos,Glover Teixeira,-240,190,41.66666667,190,11/7/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Light Heavyweight,MALE,5,0,4,0,3.74,0.47,0.9,1.87,0.38,8,6,51,1,0,1,2,8,6,0,17,Orthodox,187.96,193.04,205,1,0,0,4.44,0.47,0.1,0.83,0.4,4,6,37,1,0,0,2,11,0,0,13,Orthodox,187.96,193.04,205,36,41,-1,4,4,4,0,14,0,-3,6,0,0,5,-0.7,0.8,1.04,1,1,3,1,,,,,,1,,,,,,,,,,,,,3,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Arlovski,Tanner Boser,235,-305,235,32.78688525,11/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,3,0,2,0,4.54,0.54,0,0,0,2,1,9,0,0,0,1,2,0,0,3,Orthodox,187.96,190.5,255,0,1,0,3.54,0.44,0.3,0.5,0.36,6,17,80,5,0,1,6,11,2,0,20,Orthodox,190.5,195.58,240,41,29,0,1,-4,-17,-16,-71,-5,-9,-2,-2.54,-5.08,-12,1,-0.3,-0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raoni Barcelos,Khalid Taha,-400,295,25,295,11/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,1,0,2.64,0.5,0.5,0,0,1,1,7,0,0,0,0,1,0,0,1,Orthodox,165.1,175.26,135,0,4,0,4.79,0.5,0.7,2.31,0.58,4,0,10,0,0,0,1,2,1,0,4,Orthodox,170.18,170.18,135,33,28,0,-3,-3,-3,1,-3,0,-1,-1,-5.08,5.08,-5,-2.15,-0.2,-2.31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudia Gadelha,Yan Xiaonan,125,-155,125,64.51612903,11/7/2020,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Strawweight,FEMALE,3,0,5,0,6.72,0.42,0,1.2,0.75,5,0,15,0,0,0,5,0,0,0,5,Orthodox,165.1,160.02,115,0,2,0,3.4,0.41,0.7,3.13,0.45,2,4,33,1,0,2,4,0,1,0,7,Orthodox,162.56,160.02,115,31,31,0,3,3,-2,-4,-18,-1,0,-1,2.54,0,0,3.32,-0.7,-1.93,1,1,8,4,,,4,,,,,,,,,,,,,8,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevin Giles,Bevon Lewis,100,-125,100,80,11/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,0,1,0,4.05,0.45,0,0,0,2,2,12,0,0,0,1,2,0,0,3,Orthodox,190.5,200.66,185,0,1,0,3.61,0.56,0.2,1.47,1,2,2,14,0,0,1,0,2,0,0,3,Orthodox,182.88,187.96,185,28,29,0,0,0,0,0,-2,0,0,0,7.62,12.7,1,0.44,-0.2,-1.47,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giga Chikadze,Jamey Simmons,-835,525,11.9760479,525,11/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,165.1,145,0,4,0,3.52,0.43,0,0.4,0.4,4,1,15,0,0,2,2,0,0,0,4,Orthodox,182.88,187.96,145,32,28,0,-4,-4,-4,-1,-15,0,0,0,-17.78,-22.86,-4,-3.52,0,-0.4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandr Romanov,Marcos Rogerio de Lima,-455,330,21.97802198,330,11/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,3,0,1,0,3.78,0.54,0.8,0.76,0.6,2,5,17,0,0,0,1,4,1,0,6,Orthodox,185.42,190.5,253,0,1,0,5.87,0.37,3.2,6.41,1,1,0,2,0,0,0,0,0,1,0,1,Southpaw,187.96,190.5,262,29,35,0,0,1,5,5,15,0,4,0,-2.54,0,6,-2.09,-2.4,-5.65,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Elkins,Eduardo Garagorri,-240,185,41.66666667,185,11/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,1,0,0,3.75,0.54,0,0.79,1,1,1,4,0,0,0,1,0,0,0,1,Orthodox,175.26,177.8,145,4,0,0,3.54,0.37,1.2,2.43,0.33,6,8,57,0,0,2,8,3,1,0,14,Orthodox,177.8,180.34,145,36,31,-3,0,-5,-13,-7,-53,0,-3,-1,-2.54,-2.54,-5,0.21,-1.2,-1.64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Griffin,Ramiz Brahimaj,-143,115,69.93006993,115,11/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,170,2,0,0,3.87,0.49,0.5,1.9,0.55,1,6,25,0,1,0,1,1,0,0,3,Orthodox,180.34,193.04,170,34,27,-2,0,-1,-3,-6,-25,0,-1,0,-2.54,-7.62,-7,-3.87,-0.5,-1.9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Lopez,Anthony Birchak,-134,108,74.62686567,108,11/7/2020,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,1,0,3.98,0.35,0,0.68,0.16,1,2,6,0,0,1,0,1,0,0,2,Orthodox,172.72,175.26,135,1,0,0,0.93,0.24,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,135,31,34,-1,1,1,2,1,3,0,1,0,7.62,5.08,3,3.05,0,0.68,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
