R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details
Deiveson Figueiredo,Joseph Benavidez,-225,180,44.44444444,180,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,TRUE,Flyweight,MALE,5,1,0,0,3.53,0.34,0.6,1.5,0.3,6,6,67,4,0,1,10,6,4,0,21,Southpaw,162.56,165.1,125,0,3,0,2.54,0.52,2.4,1.81,0.5,4,1,18,1,0,1,1,4,1,0,7,Orthodox,165.1,172.72,125,32,35,1,-3,2,14,5,49,3,2,3,-2.54,-7.62,3,0.99,-1.8,-0.31,1,1,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,2,,Red,,
Jack Hermansson,Kelvin Gastelum,-112,-112,89.28571429,89.28571429,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Middleweight,MALE,3,2,0,0,3.75,0.43,0.1,0.8,0.35,5,5,43,2,0,3,2,3,2,0,10,Southpaw,175.26,180.34,185,1,0,0,5.13,0.48,0.7,2.23,0.36,4,3,20,0,0,0,2,3,2,0,7,Orthodox,185.42,195.58,185,32,28,1,0,1,3,2,23,2,0,0,-10.16,-15.24,-4,-1.38,-0.6,-1.43,1,1,7,6,,,,,,,6,,,,,,,,,,,,,7,,,,,,,Red,,
Marc Diakiese,Rafael Fiziev,-167,135,59.88023952,135,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Lightweight,MALE,3,0,1,0,4.08,0.5,0,0.91,1,1,1,4,0,0,0,1,0,0,0,1,Switch,172.72,180.34,155,0,2,0,2.86,0.37,0,2.5,0.4,3,3,21,0,0,0,3,2,0,0,5,Orthodox,177.8,185.42,155,27,27,0,-1,-2,-4,-2,-17,0,-2,0,-5.08,-5.08,0,1.22,0,-1.59,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
Ariane Lipski,Luana Carolina,-125,100,80,100,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Women's Flyweight,FEMALE,3,0,1,0,6.53,0.5,2,0,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,175.26,125,0,1,0,3.38,0.31,0.3,0.33,1,1,2,9,0,0,0,1,0,0,0,1,Orthodox,167.64,170.18,125,26,27,0,0,0,0,-2,-6,0,0,0,0,5.08,1,3.15,1.7,-0.33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
Alexandre Pantoja,Askar Askarov,-210,165,47.61904762,165,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Flyweight,MALE,3,0,1,1,3.43,0.48,0,2,0.22,1,0,6,0,0,0,1,0,0,0,1,Orthodox,167.64,170.18,125,0,1,0,4.58,0.47,1.3,1.1,0.35,3,2,18,0,0,1,1,2,2,0,6,Orthodox,165.1,170.18,125,30,27,0,0,-2,-5,-2,-12,0,-2,-2,2.54,0,-3,-1.15,-1.3,0.9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
Roman Dolidze,Khadis Ibragimov,-167,135,59.88023952,135,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Light Heavyweight,MALE,3,2,0,0,5.23,0.52,0,1.67,0.3,0,2,6,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,205,32,25,2,0,0,0,2,6,0,0,0,2.54,5.08,-7,5.23,0,1.67,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
Grant Dawson,Nad Narimani,-250,195,40,195,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Catch Weight,MALE,3,1,0,0,3.8,0.43,0,2.64,0.41,2,1,8,0,0,0,2,0,0,0,2,Orthodox,172.72,177.8,145,0,3,0,3.48,0.48,2.5,5.09,0.48,3,0,7,0,0,0,1,0,2,0,3,Switch,177.8,182.88,145,26,33,1,-3,-1,-1,1,1,0,0,-2,-5.08,-5.08,7,0.32,-2.5,-2.45,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
Joe Duffy,Joel Alvarez,-335,250,29.85074627,250,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Lightweight,MALE,3,0,1,0,2.55,0.33,0,0,0,1,1,5,0,0,0,0,1,0,0,1,Orthodox,190.5,195.58,155,2,0,0,2.56,0.33,0.8,0.75,0.6,2,3,14,0,0,0,1,1,2,0,4,Orthodox,177.8,185.42,155,32,26,-2,1,-1,-3,-2,-9,0,0,-2,12.7,10.16,-6,-0.01,-0.8,-0.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
Brett Johns,Montel Jackson,170,-215,170,46.51162791,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Bantamweight,MALE,3,0,3,0,4.16,0.55,0.2,4.84,0.79,3,1,10,0,0,0,2,0,1,0,3,Southpaw,177.8,190.5,135,0,1,0,3.3,0.48,1,4.29,0.52,3,2,16,0,0,0,2,0,2,0,4,Orthodox,170.18,180.34,135,28,28,0,2,0,-1,-1,-6,0,0,-1,7.62,10.16,0,0.86,-0.8,0.55,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
Malcolm Gordon,Amir Albazi,135,-167,135,59.88023952,7/18/2020,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,,FALSE,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,170.18,180.34,125,30,26,0,0,0,0,0,0,0,0,0,-5.08,-7.62,-4,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
